,mgr_r
1933-08,0.149277312153241
1933-09,-0.03274311327556363
1933-10,-0.07391331631193657
1933-11,-0.012538041640853717
1933-12,-0.025532382433918154
1934-01,0.08012625610559203
1934-02,-0.045628929135475185
1934-03,0.008049172179045938
1934-04,0.013556649917771075
1934-05,-0.06232286941663123
1934-06,0.007006913191990557
1934-07,-0.08138468738122412
1934-08,0.05210786036120392
1934-09,0.004774222265762467
1934-10,0.024646030692273724
1934-11,0.09883462966446882
1934-12,-0.010170584527576163
1935-01,-0.04419426515241352
1935-02,0.0093285433848764
1935-03,-0.036094481548925805
1935-04,0.01751251009623227
1935-05,0.012535826804032495
1935-06,0.06449763760235835
1935-07,0.04293915107982692
1935-08,0.013755806458119975
1935-09,0.02728203408345124
1935-10,0.06263239373849559
1935-11,0.007012407214022335
1935-12,-0.001476190494875072
1936-01,0.006614975170047388
1936-02,0.00559396265170033
1936-03,-0.030791489035482213
1936-04,-0.06342535393506042
1936-05,0.0077802270324027895
1936-06,-0.0007751651185294314
1936-07,0.02301768823925835
1936-08,0.028881986727291878
1936-09,0.01027969908078925
1936-10,0.016516399144677445
1936-11,0.043600060093296686
1936-12,-0.023229364753492396
1937-01,0.01719479543001688
1937-02,-0.0005007092065269399
1937-03,-0.017407258024903154
1937-04,-0.029599053921801604
1937-05,-0.005656303226063057
1937-06,-0.016391564628029574
1937-07,0.05390921405970123
1937-08,-0.016574091261216128
1937-09,-0.05926203764676728
1937-10,-0.05425817887871846
1937-11,-0.030970846478287906
1937-12,-0.015694260481511582
1938-01,-0.004210056128634053
1938-02,0.027898115399056164
1938-03,-0.14057057921670219
1938-04,0.07461800252796694
1938-05,0.010875060005878434
1938-06,0.1276049572635172
1938-07,0.0877675177462082
1938-08,-0.020452303707767867
1938-09,0.0018684238843463402
1938-10,0.07872520586211812
1938-11,-0.0004283654511901933
1938-12,0.013652198864660474
1939-01,-0.03048179237230448
1939-02,0.022537724094398873
1939-03,-0.06357508982894781
1939-04,-0.0061562508526952445
1939-05,0.033787287770665336
1939-06,-0.008999795309544725
1939-07,0.014569824228492418
1939-08,-0.04655382688354972
1939-09,-0.0008544747927635987
1939-10,0.037029376065093864
1939-11,-0.011819471390096883
1939-12,0.03623718393919461
1940-01,0.008932204478797081
1940-02,0.02965648383912604
1940-03,0.019550554896824526
1940-04,0.009918526474255014
1940-05,-0.17075442560811938
1940-06,0.04046101641693981
1940-07,0.03376976029455624
1940-08,0.010319986187951033
1940-09,0.01476468497175171
1940-10,-0.020459825354228578
1940-11,0.0033634691306445906
1940-12,0.0007017565788064975
1941-01,-0.007457608184932118
1941-02,-0.010948225926225338
1941-03,-0.02004427223830497
1941-04,-0.0478015045869728
1941-05,0.004983033990703705
1941-06,0.060338186915320835
1941-07,0.051745421602273155
1941-08,0.0476569850874618
1941-09,-0.004931782681455051
1941-10,-0.06205551715904611
1941-11,-0.03782577267916527
1941-12,-0.031003129672893388
1942-01,0.04962837034210654
1942-02,-0.02915873000063074
1942-03,-0.08150116153874641
1942-04,-0.03494716956377308
1942-05,0.09491645178937189
1942-06,0.02681755083308799
1942-07,0.03276489425956301
1942-08,0.01978298969469089
1942-09,0.00042844429573162326
1942-10,0.007131413769154243
1942-11,-0.012509224802035344
1942-12,0.05976477997821858
1943-01,0.08856340373723151
1943-02,0.017102099054559887
1943-03,0.037550431643316506
1943-04,0.050692702612722546
1943-05,0.034991010817778195
1943-06,0.01747136371032548
1943-07,-0.036187010635205734
1943-08,0.020715300876039712
1943-09,0.01380482914977131
1943-10,0.025585970935815404
1943-11,-0.014613314243927523
1943-12,0.06982202805476757
1944-01,0.04710974005675175
1944-02,-0.020177051131633695
1944-03,0.058735750803643794
1944-04,-0.015037547408682427
1944-05,0.0363541112530402
1944-06,0.026941567942050357
1944-07,0.01331565401951247
1944-08,0.016145034042332522
1944-09,-0.015141191294608149
1944-10,0.006288485955768764
1944-11,0.029965634588087903
1944-12,0.02229746769309903
1945-01,0.015503973305347302
1945-02,0.05448224449152041
1945-03,-0.016449927363379257
1945-04,0.06386523712406271
1945-05,0.01269504265114758
1945-06,0.017415658733239314
1945-07,-0.004498742674976183
1945-08,0.07520957702929922
1945-09,0.04737370886009923
1945-10,0.11983264760644324
1945-11,0.024470665720807548
1945-12,0.031010864969650654
1946-01,0.0009352756422993016
1946-02,-0.05733318482115109
1946-03,0.07192646423643785
1946-04,0.019471551887104192
1946-05,0.037725604963770955
1946-06,-0.016778064860288336
1946-07,0.009128854597023884
1946-08,-0.028500353459046772
1946-09,-0.10880212806008473
1946-10,0.007410644160995554
1946-11,-0.035080423947037746
1946-12,0.019299283611702286
1947-01,-0.024101372774030315
1947-02,-0.03991150652516351
1947-03,-0.028548590950533137
1947-04,-0.06270351255826795
1947-05,0.0035304378910863215
1947-06,0.042147600787012775
1947-07,0.01657916148101998
1947-08,-0.019300231747869004
1947-09,0.024102130450345465
1947-10,-0.019694985101263454
1947-11,0.0022859218076387525
1947-12,-0.0025231077236497665
1948-01,-0.02301662971000985
1948-02,-0.027421398930391833
1948-03,0.032529285950537695
1948-04,-0.001568661342618148
1948-05,0.059460643062243454
1948-06,-0.012871119446450079
1948-07,0.02085425880102601
1948-08,0.009789515936873447
1948-09,-0.015429881528667935
1948-10,0.02975637348174722
1948-11,-0.03685203220488789
1948-12,-0.017134979454346364
1949-01,0.019856593614911086
1949-02,-0.026169861611560513
1949-03,0.011855700994039957
1949-04,-0.004409833372270375
1949-05,0.017566608361291577
1949-06,0.012319981124210263
1949-07,0.03415241067594367
