PERMNO,date,TICKER,RET,sprtrn
10107,2011-06-27,MSFT,0.037037,0.009184
10107,2011-06-28,MSFT,0.023809,0.012944
10107,2011-06-29,MSFT,-0.006977,0.008283
10107,2011-06-30,MSFT,0.014832,0.010119
10107,2011-07-01,MSFT,0.000769,0.014410
10107,2011-07-05,MSFT,0.000384,-0.001336
10107,2011-07-06,MSFT,0.011525,0.001002
10107,2011-07-07,MSFT,0.016711,0.010454
10107,2011-07-08,MSFT,0.005603,-0.006961
10107,2011-07-11,MSFT,-0.010773,-0.018090
10107,2011-07-12,MSFT,-0.003380,-0.004434
10107,2011-07-13,MSFT,0.003391,0.003106
10107,2011-07-14,MSFT,-0.006008,-0.006716
10107,2011-07-15,MSFT,0.011711,0.005554
10107,2011-07-18,MSFT,-0.007095,-0.008130
10107,2011-07-19,MSFT,0.035728,0.016309
10107,2011-07-20,MSFT,-0.017429,-0.000671
10107,2011-07-21,MSFT,0.001293,0.013546
10107,2011-07-22,MSFT,0.016055,0.000908
10107,2011-07-25,MSFT,0.013803,-0.005643
10107,2011-07-26,MSFT,0.006091,-0.004105
10107,2011-07-27,MSFT,-0.026709,-0.020309
10107,2011-07-28,MSFT,0.014270,-0.003234
10107,2011-07-29,MSFT,-0.011544,-0.006451
10107,2011-08-01,MSFT,-0.004744,-0.004132
10107,2011-08-02,MSFT,-0.017235,-0.025557
10107,2011-08-03,MSFT,0.004478,0.005016
10107,2011-08-04,MSFT,-0.036404,-0.047820
10107,2011-08-05,MSFT,-0.010023,-0.000575
10107,2011-08-08,MSFT,-0.046729,-0.066634
10107,2011-08-09,MSFT,0.044935,0.047407
10107,2011-08-10,MSFT,-0.053948,-0.044152
10107,2011-08-11,MSFT,0.040909,0.046290
10107,2011-08-12,MSFT,-0.003573,0.005262
10107,2011-08-15,MSFT,0.016335,0.021785
10107,2011-08-16,MSFT,0.000000,-0.009739
10107,2011-08-17,MSFT,-0.004142,0.000947
10107,2011-08-18,MSFT,-0.022777,-0.044594
10107,2011-08-19,MSFT,-0.025132,-0.015009
10107,2011-08-22,MSFT,-0.002911,0.000258
10107,2011-08-23,MSFT,0.030859,0.034285
10107,2011-08-24,MSFT,0.007282,0.013120
10107,2011-08-25,MSFT,-0.013253,-0.015566
10107,2011-08-26,MSFT,0.027676,0.015122
10107,2011-08-29,MSFT,0.023366,0.028280
10107,2011-08-30,MSFT,0.015093,0.002347
10107,2011-08-31,MSFT,0.014106,0.004922
10107,2011-09-01,MSFT,-0.014662,-0.011871
10107,2011-09-02,MSFT,-0.015643,-0.025282
10107,2011-09-06,MSFT,-0.011240,-0.007436
10107,2011-09-07,MSFT,0.019208,0.028646
10107,2011-09-08,MSFT,0.008462,-0.010612
10107,2011-09-09,MSFT,-0.018307,-0.026705
10107,2011-09-12,MSFT,0.005827,0.006966
10107,2011-09-13,MSFT,0.005794,0.009120
10107,2011-09-14,MSFT,0.017665,0.013480
10107,2011-09-15,MSFT,0.018491,0.017187
10107,2011-09-16,MSFT,0.004817,0.005707
10107,2011-09-19,MSFT,0.003319,-0.009803
10107,2011-09-20,MSFT,-0.008453,-0.001661
10107,2011-09-21,MSFT,-0.036694,-0.029390
10107,2011-09-22,MSFT,-0.035783,-0.031883
10107,2011-09-23,MSFT,0.000000,0.006082
10107,2011-09-26,MSFT,0.015164,0.023336
10107,2011-09-27,MSFT,0.009041,0.010688
10107,2011-09-28,MSFT,-0.003701,-0.020691
10107,2011-09-29,MSFT,-0.004888,0.008114
10107,2011-09-30,MSFT,-0.022004,-0.024974
10107,2011-10-03,MSFT,-0.014464,-0.028451
10107,2011-10-04,MSFT,0.033021,0.022488
10107,2011-10-05,MSFT,0.021705,0.017866
10107,2011-10-06,MSFT,0.017381,0.018304
10107,2011-10-07,MSFT,-0.003417,-0.008163
10107,2011-10-10,MSFT,0.026286,0.034125
10107,2011-10-11,MSFT,0.002227,0.000544
10107,2011-10-12,MSFT,-0.001482,0.009795
10107,2011-10-13,MSFT,0.008160,-0.002974
10107,2011-10-14,MSFT,0.003311,0.017380
10107,2011-10-17,MSFT,-0.010634,-0.019370
10107,2011-10-18,MSFT,0.012231,0.020419
10107,2011-10-19,MSFT,-0.006591,-0.012649
10107,2011-10-20,MSFT,-0.003317,0.004554
10107,2011-10-21,MSFT,0.004438,0.018809
10107,2011-10-24,MSFT,0.001105,0.012873
10107,2011-10-25,MSFT,-0.013976,-0.020045
10107,2011-10-26,MSFT,-0.008206,0.010537
10107,2011-10-27,MSFT,0.024821,0.034291
10107,2011-10-28,MSFT,-0.009908,0.000389
10107,2011-10-31,MSFT,-0.012973,-0.024738
10107,2011-11-01,MSFT,-0.024033,-0.027942
10107,2011-11-02,MSFT,0.000770,0.016105
10107,2011-11-03,MSFT,0.019992,0.018782
10107,2011-11-04,MSFT,-0.010554,-0.006280
10107,2011-11-07,MSFT,0.020952,0.006296
10107,2011-11-08,MSFT,0.013433,0.011736
10107,2011-11-09,MSFT,-0.035346,-0.036695
10107,2011-11-10,MSFT,0.003053,0.008616
10107,2011-11-11,MSFT,0.023973,0.019489
10107,2011-11-14,MSFT,-0.005574,-0.009550
10107,2011-11-15,MSFT,0.006726,0.004817
10107,2011-11-16,MSFT,-0.025056,-0.016616
10107,2011-11-17,MSFT,-0.020330,-0.016800
10107,2011-11-18,MSFT,-0.009397,-0.000395
10107,2011-11-21,MSFT,-0.011858,-0.018648
10107,2011-11-22,MSFT,-0.008400,-0.004141
10107,2011-11-23,MSFT,-0.012908,-0.022095
10107,2011-11-25,MSFT,-0.006947,-0.002686
10107,2011-11-28,MSFT,0.023457,0.029240
10107,2011-11-29,MSFT,-0.001206,0.002214
10107,2011-11-30,MSFT,0.029791,0.043315
10107,2011-12-01,MSFT,-0.011728,-0.001909
10107,2011-12-02,MSFT,-0.002373,-0.000241
10107,2011-12-05,MSFT,0.019033,0.010287
10107,2011-12-06,MSFT,-0.001556,0.001106
10107,2011-12-07,MSFT,-0.002338,0.002018
10107,2011-12-08,MSFT,-0.007813,-0.021142
10107,2011-12-09,MSFT,0.011811,0.016883
10107,2011-12-12,MSFT,-0.007393,-0.014914
10107,2011-12-13,MSFT,0.009800,-0.008686
10107,2011-12-14,MSFT,-0.006599,-0.011348
10107,2011-12-15,MSFT,-0.001172,0.003243
10107,2011-12-16,MSFT,0.017214,0.003216
10107,2011-12-19,MSFT,-0.018077,-0.011733
10107,2011-12-20,MSFT,0.019389,0.029825
10107,2011-12-21,MSFT,-0.010182,0.001950
10107,2011-12-22,MSFT,0.001941,0.008266
10107,2011-12-23,MSFT,0.008524,0.009035
10107,2011-12-27,MSFT,0.000384,0.000079
10107,2011-12-28,MSFT,-0.008449,-0.012478
